Freq.	V(vout)
1.99067333898715e+00	(-3.62476541934115e+01dB,1.65581368446757e+02°)
1.99526231496885e+00	(-3.62082701605248e+01dB,1.65548469432700e+02°)
1.99986186963271e+00	(-3.61688889266068e+01dB,1.65515496901696e+02°)
2.00447202736513e+00	(-3.61295105041744e+01dB,1.65482450700042e+02°)
2.00909281260870e+00	(-3.60901349057985e+01dB,1.65449330673783e+02°)
2.01372424986236e+00	(-3.60507621441043e+01dB,1.65416136668717e+02°)
2.01836636368153e+00	(-3.60113922317718e+01dB,1.65382868530392e+02°)
2.02301917867824e+00	(-3.59720251815356e+01dB,1.65349526104109e+02°)
2.02768271952125e+00	(-3.59326610061852e+01dB,1.65316109234919e+02°)
2.03235701093619e+00	(-3.58932997185657e+01dB,1.65282617767627e+02°)
2.03704207770568e+00	(-3.58539413315773e+01dB,1.65249051546789e+02°)
2.04173794466950e+00	(-3.58145858581761e+01dB,1.65215410416711e+02°)
2.04644463672464e+00	(-3.57752333113739e+01dB,1.65181694221454e+02°)
2.05116217882553e+00	(-3.57358837042387e+01dB,1.65147902804830e+02°)
2.05589059598411e+00	(-3.56965370498950e+01dB,1.65114036010405e+02°)
2.06062991326997e+00	(-3.56571933615237e+01dB,1.65080093681495e+02°)
2.06538015581049e+00	(-3.56178526523625e+01dB,1.65046075661172e+02°)
2.07014134879101e+00	(-3.55785149357061e+01dB,1.65011981792259e+02°)
2.07491351745487e+00	(-3.55391802249066e+01dB,1.64977811917333e+02°)
2.07969668710366e+00	(-3.54998485333733e+01dB,1.64943565878724e+02°)
2.08449088309725e+00	(-3.54605198745735e+01dB,1.64909243518515e+02°)
2.08929613085400e+00	(-3.54211942620323e+01dB,1.64874844678545e+02°)
2.09411245585086e+00	(-3.53818717093329e+01dB,1.64840369200404e+02°)
2.09893988362349e+00	(-3.53425522301170e+01dB,1.64805816925439e+02°)
2.10377843976644e+00	(-3.53032358380847e+01dB,1.64771187694749e+02°)
2.10862814993325e+00	(-3.52639225469954e+01dB,1.64736481349190e+02°)
2.11348903983661e+00	(-3.52246123706671e+01dB,1.64701697729370e+02°)
2.11836113524847e+00	(-3.51853053229774e+01dB,1.64666836675655e+02°)
2.12324446200018e+00	(-3.51460014178634e+01dB,1.64631898028163e+02°)
2.12813904598267e+00	(-3.51067006693219e+01dB,1.64596881626771e+02°)
2.13304491314654e+00	(-3.50674030914099e+01dB,1.64561787311110e+02°)
2.13796208950219e+00	(-3.50281086982445e+01dB,1.64526614920566e+02°)
2.14289060112002e+00	(-3.49888175040033e+01dB,1.64491364294283e+02°)
2.14783047413050e+00	(-3.49495295229249e+01dB,1.64456035271161e+02°)
2.15278173472433e+00	(-3.49102447693084e+01dB,1.64420627689856e+02°)
2.15774440915263e+00	(-3.48709632575145e+01dB,1.64385141388782e+02°)
2.16271852372698e+00	(-3.48316850019653e+01dB,1.64349576206110e+02°)
2.16770410481966e+00	(-3.47924100171445e+01dB,1.64313931979768e+02°)
2.17270117886371e+00	(-3.47531383175977e+01dB,1.64278208547443e+02°)
2.17770977235312e+00	(-3.47138699179327e+01dB,1.64242405746579e+02°)
2.18272991184296e+00	(-3.46746048328200e+01dB,1.64206523414379e+02°)
2.18776162394951e+00	(-3.46353430769922e+01dB,1.64170561387804e+02°)
2.19280493535041e+00	(-3.45960846652454e+01dB,1.64134519503577e+02°)
2.19785987278478e+00	(-3.45568296124385e+01dB,1.64098397598176e+02°)
2.20292646305342e+00	(-3.45175779334939e+01dB,1.64062195507842e+02°)
2.20800473301886e+00	(-3.44783296433977e+01dB,1.64025913068574e+02°)
2.21309470960560e+00	(-3.44390847571997e+01dB,1.63989550116134e+02°)
2.21819641980018e+00	(-3.43998432900141e+01dB,1.63953106486041e+02°)
2.22330989065136e+00	(-3.43606052570193e+01dB,1.63916582013578e+02°)
2.22843514927026e+00	(-3.43213706734585e+01dB,1.63879976533788e+02°)
2.23357222283049e+00	(-3.42821395546396e+01dB,1.63843289881476e+02°)
2.23872113856830e+00	(-3.42429119159358e+01dB,1.63806521891210e+02°)
2.24388192378272e+00	(-3.42036877727856e+01dB,1.63769672397320e+02°)
2.24905460583574e+00	(-3.41644671406933e+01dB,1.63732741233898e+02°)
2.25423921215239e+00	(-3.41252500352290e+01dB,1.63695728234799e+02°)
2.25943577022093e+00	(-3.40860364720288e+01dB,1.63658633233644e+02°)
2.26464430759302e+00	(-3.40468264667954e+01dB,1.63621456063816e+02°)
2.26986485188378e+00	(-3.40076200352982e+01dB,1.63584196558463e+02°)
